Abk;Name;Kurzname;Typ;BetrZust;PrimaryLocationCode;UIC;RB;gültigVon;gültigBis;NetzKey;FplRel;FplGr;
NCH;Cham (Oberpf);Cham (Oberpf);Bf;;DE 11912;0080;7;20081214;;262493;J;N;
NCH S;Cham (Oberpf) Schwedenschanze;Cham Schwedensch;Bft;;DE 11914;0080;7;20081214;;357533;J;N;
NCHA;Chamerau;Chamerau;Hp;;DE 11916;0080;7;20081214;;262592;J;N;
NCHM;Cham Müll;Cham Müll;Anst;;DE 11915;0080;7;20081214;;261990;J;N;
NCHX;Cheb                                (CZ);Cheb          CZ;Emst;; ;0080;;20090601;;;;;
NCL;Creglingen;Creglingen;Bf;ehemals;DE 12010;0080;7;20080101;;227561;N;N;
NCN;Coburg Nord;Coburg Nord;Bft;;DE 11965;0080;7;20091213;;850735;J;N;
NCNS;Coburg-Neuses;Coburg-Neuses;Bft;;DE 11967;0080;7;20081214;;228148;J;N;
NCR;Creidlitz;Creidlitz;Bf;;DE 12011;0080;7;20081214;;228064;J;N;
NCRB;Creidlitz Brandt;Creidlitz Brandt;Anst;a.B.;DE 12012;0080;7;20080101;;227769;N;N;
NCRE;Creußen (Oberfr);Creußen (Oberfr);Bf;;DE 12014;0080;7;20081214;;222968;J;N;
NCRS;Creidlitz Schenker Eurocargo;Creidlitz Schenk;Anst;a.B.;DE 12013;0080;7;20080101;;228379;N;N;
NDAU;Döhlau;Döhlau;NE-Hp;; ;0080;;20081214;;222554;J;N;
NDB;Dombühl;Dombühl;Bf;;DE 12285;0080;7;20081214;;227421;J;J;
NDB B;Dombühl BEM;Dombühl BEM;Museum;; ;0080;;20000416;;;N;N;
NDBG;Dombühl DB-Grenze;Dombühl DB-Gr;Gp;;DE 12286;0080;7;20130904;;107414;J;N;
NDE;Deining (Oberpf);Deining (Oberpf);Hp;;DE 12112;0080;7;20081214;;263079;J;N;
NDEB;Dettelbach Bahnhof;Dettelbach Bf;Bf;;DE 12165;0080;7;20081214;;225292;J;N;
